te,the
i,i
ki,to
ka,then
e,e
ngā,things
o,of
a,a
he,he
ko,is
ana,he
atu,away
me,and
mai,from
ia,each
kei,where
kia,to
nā,so
kua,already
rā,day
nei,now
haere,go
hoki,also
tētahi,one
anō,again
mahi,work
mea,thing
hei,hey
tonu,immediately
mō,for
ā,and
tēnei,this
koe,you
kōrero,talk
rātou,them
au,me
ai,ai
mā,white
roto,inside
whanaunga,relatives
ake,more
tino,really
ahau,me
noa,normal
noho,stay
rawa,really
kātahi,then
nui,much
kore,no
ō,oh
mōhio,understand
reira,there
tātou,us
āhua,approx
whakaaro,thinking
iho,down
tamariki,children
kī,key
tangata,people
whare,house
tae,color
kāore,no
kura,school
puta,out
kite,see
ōna,his
wāhi,location
whakaaturanga,presentation
ēnei,these
rua,two
tōku,my
tū,stop
tēnā,please
waka,vehicle
"Māori, māori","Māori, native"
pikitia,pictures
koutou,you guys
rangi,heaven
iwi,tribe
mau,indeed
taha,side
whenua,country
reo,language
rānei,or
ao,world
taua,same
māmā,easy
kāinga,home
manu,birds
whai,followed
rākau,tree
titiro,look
māua,us
hoa,friend
kaha,strength
taea,possible
mātau,know
roa,long
tekau,ten
pāpā,papa
muri,later
kāre,no
mua,before
pea,perhaps
arā,that is
moana,ocean
whānau,whānau
raro,down
rere,running
toa,shop
tika,right
tuatahi,first
kupu,words
ingoa,name
pā,touch
kotahi,once
ahakoa,though
tāngata,people
momo,species
pātai,question
pēnei,like this
kitea,visible
pērā,like that
huri,change
pō,night
papa,dad
rite,like
tere,fast
tīmata,start
waiata,song
kaupapa,project
mere,nothing
ora,alive
rongo,listen
tata,almost
tākaro,play
tohu,sign
taonga,property
hiahia,want
hanga,construction
tama,boy
hau,air
āta,carefully
matua,main
tikanga,method
mate,death
mutu,stop
whakaahua,photo
whakautu,answer
mehemea,if
tangi,crying
awa,river
pēhea,how
ringa,hands
waho,out
toru,three
ika,fish
rau,leaves
konei,here
moe,sleep
ōku,my
tāna,his
pou,pole
tuna,Tuna
anake,alone
heke,down
tahi,together
kākahu,clothes
wāhanga,section
pakeke,adult
āe,yes
āwhina,help
kaua,don't
rangatira,leader
whakataetae,competition
karanga,call
iti,little
pukapuka,book
maha,many
kuia,grandmother
pango,black
ērā,those
aua,don't
take,cause
tāne,man
hea,share
i nāianei,now
hou,new
ehara,it is not
tinana,body
ahi,fire
oma,run
rōpū,group
marama,light
hēoi,however
Ngāti,Ngāti
wahine,woman
huarahi,way
hia,how many
āhuatanga,characteristics
kau,cows
mihi,thank you
ngaro,lost
aku,mine
pouaka,box
auē,oh
kōrua,both of you
tuarua,second
aroha,love
uru,access
anei,here
waewae,feet
hua,product
rārangi,list
rerekē,different
maunga,mountains
tāua,important
piki,climbing
tauira,example
rima,five
whaea,mother
whakaatu,display
āna,his
whā,four
mātua,parents
tuhi,writing
kiia,said
tuku,offer
pepa,paper
rō,in
kete,package
moko,tattoo
toi,art
kāhore,no
hāora,oxygen
Pākehā,European
tipu,plant
māku,for me
ata,Morning
mutunga,end
whatu,eye
huia,take off
pīrangi,desire
waea,telephone
whakamārama,explain
tīma,team
waenganui,middle
tiaki,protection
oti,complete
rūma,room
mana,power
taki,check
ara,that is
hunga,people
motokā,car
rahi,size
tōu,your
tawhiti,far away
tāku,mine
ako,learn
riro,become
kurī,dog
wera,heat
mēnā,if
koia,that's it
ngahere,forest
tiro,Look
ātaahua,beautiful
kararehe,animals
mīharo,amazing
motu,island
nuinga,mostly
reka,sweet
tai,tide
eke,ride
kanohi,face
taka,fall
whakahoki,reply
tatari,wait
kata,laughing
toka,rock
kino,bad
whakarongo,listen
kōtiro,girl
koroua,old man
mātauranga,education
puku,silent
tiki,get
hui,meeting
ono,six
tamaiti,child
mataku,scared
otirā,in particular
takoto,lie down
koro,Mr
moni,money
pū,gun
mīhini,machine
hoatu,give
mahia,do it
paku,slightly
nāna,by him
hāereere,fly
hoko,purchase
mārama,clear
mahana,warm
waru,eight
nē,no
marae,court
tatau,count
tuhia,write it down
hangaia,created
horoi,cleaning
kiri,skin
rawe,great
waiho,leave it
kēmu,game
taniwha,monster
kōhanga,kōhanga
hīkoi,walk
tukuna,release
kapa,team
whānui,general
tūturu,real
haka,so
hī,fishing
koinei,this is it
uaua,difficult
whakaae,agree
utu,pay
kimi,find
inā,then
hopu,catch
kawe,carry
whetū,star
māna,for him
tua,back
rangatahi,youth
wāhine,women
mokopuna,grandson
pau,all
hū,erupt
pupuri,hold
taumaha,heavy
tipuna,ancestor
koa,please
haerenga,trip
whakahaere,management
mata,face
oho,Wake up
kāti,shut up
kaitā,kaita
pae,site
putanga,output
karaka,orange
tāu,your
upoko,head
tīpuna,grandfather
pānui,reading
patu,kill
wiki,week
rohe,region
kanikani,dancing
kaukau,bath
whero,red
ngākau,willingly
ngāwari,easy
peke,bag
hine,girl
waha,mouth
oranga,life
tohutohu,instructions
wehi,fear
karu,eyes
taputapu,equipment
whiwhi,receive
pēke,bank
taenga,arrival
whiti,cross
mātakitaki,watch
whakamahi,use
tango,remove
whakaata,reflection
hē,wrong
raruraru,problems
tonga,south
miraka,milk
moenga,bed
tautoko,support
whawhai,fight
tirohia,check it out
whakamahia,used
ahu,direction
māhanga,twins
ngaru,wave
poto,short
nāianei,now
manawa,breath
ture,law
matau,right
mura,flame
iwa,nine
ōu,your
pōtae,hat
teitei,high
atua,god
tokorua,two
nama,no
poaka,pig
tini,many
tohunga,expert
waimarie,good luck
kiwi,Kiwi
kō,yes
kuhu,enter
whea,when
neke,moving
tangohia,remove it
mano,thousand
hōiho,horse
taringa,ears
hiko,electricity
rorohiko,computer
tapu,sacred
ōrite,equal
whāngai,feeding
hika,hijab
ina,when
tūpato,caution
huna,hidden
kaitiaki,guardian
kui,grandma
hinga,fall
tūtaki,meeting
aho,string
ākonga,student
hiki,raise
pēpi,baby
takiwā,area
toroa,extended
hari,joy
kōkā,but
mahara,remember
pēnā,like that
whārangi,page
āu,you
kaiako,teacher
piri,tight
uri,descendants
mamae,pain
kaimahi,worker
māhunga,head
wawata,wish
hēki,eggs
moemoeā,dream
pōro,ball
rapu,search
wānanga,university
kāinga,home
ngutu,lips
hinengaro,mind
whitu,seven
hā,what?
kaumātua,elderly
māu,for you
moutere,island
tāone,town
karakia,prayers
mōkai,pet
pakanga,war
rīwai,potatoes
pī,peas
hinu,oil
pōuri,sad
ahiahi,evening
haruru,noise
kāo,no
kapu,cup
poti,boat
wareware,forget
whakarite,arrange
anga,framework
kāri,card
rino,iron
tono,application
whakawhiti,exchange
tēhea,which one
tētehi,one
hākinakina,sports
mahue,left
maumahara,remember
taura,cable
āhei,eligible
kaipuke,ship
ohorere,suddenly
parāoa,bread
peka,branch
puare,open
puke,hill
kōhatu,stone
tahuri,convert
tuatoru,third
wairua,soul
wehe,separate
mōna,for him
whakamātau,experiment
whakamutunga,last
whakapono,believe
inu,drink
tēpu,table
tiriti,street
huruhuru,hair
one,one
kahurangi,blue
mahere,plans
makawe,hair
rama,lights
roimata,tears
whakatau,decision
kauwhata,graph
niho,teeth
nunui,huge
paepae,tray
rongonui,popular
wātea,available
ārai,prevent
pounamu,bottle
ringaringa,hands
haramai (haere mai),salami (come)
mauria,bring it
taraka,truck
oneone,soil
taumata,level
hoariri,enemy
hokinga,return
kitenga,discovery
puna,spring
tirotiro,inspection
whakamuri,backwards
whakatipu,breeding
āku,mine
hoe,paddle
karani,cranberry
nuku,move
poi,ball
tūmanako,hope
tūranga,position
uta,loading
pirihimana,police
punua,kitten
pupuhi,shoot
whakamau,secure
anā,there
aro,attention
kiore,mice
makariri,cold
whakararo,down
āpōpō,tomorrow
nāku,mine
painga,advantage
pūtaiao,science
ua,rain
whakangahau,entertainment
māharahara,worried
pakaru,broken
whakaari,drama
mauī,left
putiputi,flowers
tīmatanga,start
ihu,nose
raki,northern
rererangi,plane
maroke,dry
matapihi,windows
ngeru,cat
pene,pen
pāmu,farm
tapa,edge
tōkena,socks
pouaka whakaata,television
meneti,minutes
pito,end
tūrehu,tourist
umere,howl
huka,sugar
raru,problem
riri,angry
tākuta,doctor
manaaki,blessing
motuhake,independent
peita,paint
keke,cake
tunu,cook
tūru,chair
whakatū,establish
hāngai,directly
hōia,military
hurihuri,revolutionary
kīhai,no
kirikiri,sand
mārō,solid
pūkaha,engine
rapa,rubber
reti,retire
ū,sure
whakaritea,arranged
hai,hi
pakupaku,small
ruku,diving
taihoa,wait
tawhito,old
whutupōro,football
ātea,space
awhi,embrace
māra,garden
miro,yarn
mita,meters
puhi,smoke
ākuanei,now
kapua,cloud
tina,dinner
tukua,give up
waenga,medium
here,bound
kaiwhakahaere,director
kakī,neck
whāiti,limited
haurua,half
ine,measure
pakari,strong
patua,kill
tipua,weird
tuakana,brother
kare,no
moka,bit
pākete,package
whakahokia,return it
ārahi,leading
mātaki,watch
mōhiotia,known
pahi,bus
pātītī,grass
tuarā,back
hākari,feast
haria,take it
heihei,chicken
pōhēhē,guess
purua,blocked
toro,visiting
waihanga,create
harakeke,flax
hōhā,boring
mātao,cold
nāwai,enough
pēkana,bacon
pono,true
tapahia,cut off
whāia,follow
whakahirahira,important
hono,connected
matimati,fingers
pakitara,wall
atawhai,kindness
hangarau,technology
hararei,holiday
manuhiri,guest
mōku,for me
rīpene,tape
wero,challenges
hokohoko,trade
kākano,seeds
pīpī,pip
uhi,cover
whakaora,recovery
whakatā,take a break
kākāriki,green
kauhoe,swimming
hāparangi,paralysis
hapū,pregnancy
huakina,attack
ira,gene
māia,confidence
mokemoke,lonely
otaota,herbs
pūkenga,skills
tūpuna,ancestor
kāpia,glue
rata,physician
tīkina,get it
herea,bound
tupu,happen
paoro,ball
poro,log
tumeke,tumek
whakatakoto,set
whanga,harbour
mīti,beef
tāia,print
whakaputa,produce
whakatika,get up
koi,sharp
pere,shot
tirohanga,view
toe,rest
toenga,balance
tungāne,brother
whakamā,comfort
tao,spear
taro,bread
tokomaha,many
whakamīharo,amazing
hōmai,give
karāhe,glass
katakata,laughing
kāwanatanga,government
kōwhai,yellow
mākū,wet
mauri,core
parakuihi,breakfast
purapura,seeds
pūrere,device
rēhia,leisure
tī,tea
tukutuku,web
whakamua,forward
whakarunga,upwards
hā,what?
harikoa,happy
ipu,container
irirangi,radiation
maramara,clear
marangai,morning
pāngarau,mathematics
puehu,dust
purei,play
tuhituhi,writing
whāinga,goal
whakamāori,translate
pahū,explosion
tame,tame
ngārara,insect
noke,worm
parirau,wings
tapahi,cutting
ope,force
whakamaua,put it on
wiriwiri,shaking
hipi,sheep
matekai,hunger
pari,cliff
poraka,block
porohita,circular
porowhita,circle
tamatāne,thumbs up
tutuki,meet
weka,weka
wīra,wheel
auahi,smoke
ētehi,others
kaituhi,author
kōtuku,network
rāwhiti,east
teina,brother
hāngi,air
kaikōrero,speaker
kāreti,college
pata,butter
rango,range
taiapa,fence
tāra,dollars
tihi,top
tohorā,whale
turituri,knees
whakangā,relax
āporo,apple
hōhonu,deep
kongakonga,fragments
makere,like
nanakia,cruel
tari,department
tīni,ten
tote,salt
tōtika,effectively
whakamātautau,exam
whakatūpato,warning
kauaka,don't
kāwana,governor
kekeno,seal
mārika,marika
matū,chemistry
ngata,snail
pare,defense
tuahine,sister
whakatata,approach
rerenga,refugee
tāhau,ours
tokotoru,three
tomo,enter
whakapapa,genealogy
akoranga,course
kaute,account
kēhua,ghost
kūmara,kumara
tuhinga,document
whakahau,orders
aituā,accident
kohi,collect
konā,there
paipa,pipe
paru,dirty
pūngāwerewere,spider
rangona,heard
rekareka,sweet
tātai,calculate
tuawhā,fourth
kawenga,responsibility
pēwhea,how
tinihanga,fraud
wharekura,school
horo,hall
koha,gifts
manga,branches
pani,orphan
pātene,button
pāua,paua
rori,road
tapuwae,foot
tauhou,stranger
whakaheke,decrease
whakakī,filling
whakapakari,strengthening
kaitākaro,players
kōiwi,bone
kupenga,net
pekapeka,bat
ēnā,yes
